subject,trial,repeat,choice,rt,item_value_0,gaze_0,item_value_1,gaze_1,item_value_2,gaze_2,condition
0.0,0.0,0.0,0.0,0.694296427883928,5,0.9103678042628863,4,0.07615357813350403,3,0.013478617603609607,condition_0
0.0,1.0,0.0,0.0,1.095577016620833,1,0.617222639578265,1,0.3820349911051962,5,0.0007423693165387546,condition_0
0.0,2.0,0.0,1.0,0.9230980110190922,3,0.29975159535409884,6,0.3430152301174783,1,0.35723317452842285,condition_0
0.0,3.0,0.0,1.0,1.1183305310313338,1,0.5634487066781424,4,0.397728105445097,9,0.038823187876760604,condition_0
0.0,4.0,0.0,1.0,1.2272832960725046,6,0.2524443068284643,4,0.40695306885688887,2,0.34060262431464694,condition_0
0.0,5.0,0.0,1.0,0.7994128005444532,5,0.3658404062599788,8,0.5619784039421798,4,0.07218118979784142,condition_0
0.0,6.0,0.0,1.0,1.6162385366320307,3,0.0624561272807807,3,0.5230577915500745,3,0.4144860811691449,condition_0
0.0,7.0,0.0,1.0,0.6252930895173362,7,0.06362252554179945,7,0.3669903529925588,1,0.5693871214656417,condition_0
0.0,8.0,0.0,1.0,1.2708350431169344,2,0.4196745104081023,6,0.43353676124352963,7,0.14678872834836817,condition_0
0.0,9.0,0.0,1.0,1.094518382295331,6,0.46203672631675013,9,0.5161579935997104,9,0.021805280083539495,condition_0
0.0,10.0,0.0,2.0,1.7215209410283698,6,0.5357278362200264,6,0.03625453615366898,8,0.4280176276263047,condition_0
0.0,11.0,0.0,0.0,1.3751256863456367,6,0.48164165728105374,2,0.4410950391771146,4,0.07726330354183145,condition_0
0.0,12.0,0.0,1.0,1.4922807515452985,4,0.14923926871429147,4,0.743897530518335,4,0.10686320076737355,condition_0
0.0,13.0,0.0,0.0,0.7573247804028361,7,0.5649678105395105,2,0.08650271518314355,4,0.3485294742773459,condition_0
0.0,14.0,0.0,1.0,1.0768922623074308,1,0.23056098323859225,6,0.4130776219046464,1,0.35636139485676127,condition_0
0.0,15.0,0.0,0.0,1.0162471648861453,6,0.5050335086588822,3,0.36970566067553073,8,0.12526083066558694,condition_0
0.0,16.0,0.0,1.0,1.6878442674433543,7,0.2273065813300557,5,0.2663142835460464,1,0.5063791351238979,condition_0
0.0,17.0,0.0,2.0,1.2414121354325411,3,0.0028002446850032294,5,0.0709469502881025,9,0.9262528050268942,condition_0
0.0,18.0,0.0,0.0,1.7121458405927827,8,0.4001788026267794,7,0.3242146587700141,8,0.2756065386032065,condition_0
0.0,19.0,0.0,0.0,1.0639347120680311,8,0.7615817395718883,2,0.0021460537409930076,8,0.23627220668711862,condition_0
0.0,20.0,0.0,2.0,1.306286141969188,8,0.3069268899729968,4,0.09353818845952197,9,0.5995349215674812,condition_0
0.0,21.0,0.0,2.0,1.6507281344547735,4,0.5907805286429566,1,0.254294177661225,7,0.1549252936958185,condition_0
0.0,22.0,0.0,2.0,1.0109096607949015,4,0.4458884888062572,1,0.20962365016187504,7,0.3444878610318678,condition_0
0.0,23.0,0.0,0.0,1.7525135404888548,6,0.5814123944502939,7,0.3624921679928402,5,0.056095437556865864,condition_0
0.0,24.0,0.0,1.0,0.9871064177169261,7,0.20341166471064098,7,0.37026678323237505,3,0.426321552056984,condition_0
0.0,25.0,0.0,0.0,0.9921154626690061,3,0.7408762654522745,5,0.004693958820187089,2,0.2544297757275384,condition_0
0.0,26.0,0.0,0.0,1.3061378935578827,3,0.2985633193620027,4,0.3440660013785703,4,0.357370679259427,condition_0
0.0,27.0,0.0,0.0,1.0179508464207934,7,0.3260155960623703,8,0.35790831473486284,1,0.31607608920276686,condition_0
0.0,28.0,0.0,0.0,0.935100859134909,4,0.5996599562992504,4,0.39344649452509683,7,0.006893549175652717,condition_0
0.0,29.0,0.0,1.0,1.5943987464710139,9,0.2979275214322454,7,0.3808873596180022,6,0.3211851189497524,condition_0
0.0,30.0,0.0,1.0,0.5969816967104129,2,0.1632910688460828,4,0.6703657079612719,3,0.1663432231926452,condition_0
0.0,31.0,0.0,1.0,1.328036778300675,7,0.20763037514581656,4,0.37140760356190894,7,0.4209620212922746,condition_0
0.0,32.0,0.0,2.0,1.2213078307440695,8,0.2422952849309515,3,0.16818908688248382,9,0.5895156281865647,condition_0
0.0,33.0,0.0,2.0,1.1795500115054267,1,0.23177732950794136,2,0.44500607952658716,9,0.32321659096547156,condition_0
0.0,34.0,0.0,0.0,1.7373155832274199,7,0.22530065941430652,1,0.27429396251602184,1,0.5004053780696717,condition_0
0.0,35.0,0.0,2.0,0.993964983271324,2,0.5166052625582869,3,0.3088980528850171,8,0.1744966845566959,condition_0
0.0,36.0,0.0,2.0,1.1644315247267383,8,0.09907258123047913,5,0.4413294230901941,5,0.45959799567932674,condition_0
0.0,37.0,0.0,2.0,1.0498198470529922,1,0.2704025739925117,2,0.36758384029954266,1,0.3620135857079456,condition_0
0.0,38.0,0.0,1.0,0.8878346814681563,9,0.19982562165671292,6,0.5721715515792143,7,0.22800282676407285,condition_0
0.0,39.0,0.0,2.0,1.7980425370491666,3,0.5204925960834763,6,0.3109595456082245,5,0.16854785830829927,condition_0
0.0,40.0,0.0,2.0,0.7544047662229433,4,0.2059733727268891,1,0.2277325328450877,7,0.5662940944280233,condition_0
